	gene	group	pval
0	A1BG	AECOPD	0.2762075781920631
1	A1BG	StableCOPD	0.04116192365608551
2	A1BG-AS1	AECOPD	0.49823917233839643
3	A1BG-AS1	StableCOPD	0.012137874113176794
4	A2M	AECOPD	0.5928806193913044
5	A2M	StableCOPD	0.8918590262324269
6	A2M-AS1	AECOPD	0.22118828630148513
7	A2M-AS1	StableCOPD	0.8769411611778982
8	A2MP1	AECOPD	0.03437173216210743
9	A2MP1	StableCOPD	0.8322585067398525
10	AAAS	AECOPD	0.009429792179226348
11	AAAS	StableCOPD	0.6740971117121464
12	AACS	AECOPD	0.03364483687575881
13	AACS	StableCOPD	0.5467771038127891
14	AAED1	AECOPD	0.8924602923383156
15	AAED1	StableCOPD	0.9818652189849347
16	AAGAB	AECOPD	0.22282173600365796
17	AAGAB	StableCOPD	0.5336135463600791
18	AAK1	AECOPD	0.0299081674746422
19	AAK1	StableCOPD	0.1496797172202906
20	AAMDC	AECOPD	0.6954721014404055
21	AAMDC	StableCOPD	0.05118524903658184
22	AAMP	AECOPD	0.014011304219575527
23	AAMP	StableCOPD	0.029945103233011694
24	AANAT	AECOPD	0.22328357073605642
25	AANAT	StableCOPD	0.004294449068390049
26	AAR2	AECOPD	0.12766551651288716
27	AAR2	StableCOPD	0.17153876243627253
28	AARD	StableCOPD	0.26619946693882957
29	AARS	AECOPD	0.5493857905339716
30	AARS	StableCOPD	0.755347281472826
31	AARS2	AECOPD	0.777937568691642
32	AARS2	StableCOPD	0.8953605052812558
33	AARSD1	AECOPD	0.6138720045191577
34	AARSD1	StableCOPD	0.8407853187811453
35	AASDH	AECOPD	0.9490835140716616
36	AASDH	StableCOPD	0.8199643834153778
37	AASDHPPT	AECOPD	0.249466121403775
38	AASDHPPT	StableCOPD	0.28720012262924244
39	AASS	AECOPD	0.6053692825440579
40	AASS	StableCOPD	0.39948533006033116
41	AATBC	AECOPD	0.0023579011519039295
42	AATBC	StableCOPD	0.06959325570321107
43	AATF	AECOPD	0.05003815012448887
44	AATF	StableCOPD	0.013377740875430977
45	AATK	AECOPD	0.08665972447538794
46	AATK	StableCOPD	0.39519326876694183
47	ABALON	AECOPD	0.2967285847341249
48	ABALON	StableCOPD	0.1893945965382685
49	ABAT	AECOPD	0.26763715298992186
50	ABAT	StableCOPD	0.863066727089719
51	ABCA1	AECOPD	0.044599778600149076
52	ABCA1	StableCOPD	0.2156271518464914
53	ABCA10	AECOPD	0.4320082169163123
54	ABCA11P	AECOPD	0.23392206097092516
55	ABCA11P	StableCOPD	0.8924453013797354
56	ABCA13	StableCOPD	0.6424378429465947
57	ABCA2	AECOPD	0.00904123200580742
58	ABCA2	StableCOPD	0.37679069868563364
59	ABCA3	AECOPD	0.05773435763762935
60	ABCA3	StableCOPD	0.29991649881561444
61	ABCA5	AECOPD	0.21874006157449788
62	ABCA5	StableCOPD	0.24142306886492781
63	ABCA6	AECOPD	0.5423728345027401
64	ABCA7	AECOPD	0.96879133253037
65	ABCA7	StableCOPD	0.8297226169455272
66	ABCB1	AECOPD	0.03120893015365589
67	ABCB1	StableCOPD	0.03733605518476146
68	ABCB10	AECOPD	0.22522149662574475
69	ABCB10	StableCOPD	0.7772794268812239
70	ABCB4	AECOPD	0.16165748269383118
71	ABCB4	StableCOPD	0.5576933851670278
72	ABCB6	AECOPD	0.0011376412316275175
73	ABCB6	StableCOPD	0.10425694943160302
74	ABCB7	AECOPD	0.05841796548097755
75	ABCB7	StableCOPD	0.018376271250637677
76	ABCB8	AECOPD	0.5502899221289785
